id,name,remarks,lat,lng,openinghrs
,南圍村公廁,,22.3517781600,114.2531603000,24小時
,西貢碼頭公廁,,22.3825408800,114.2741809000,24小時
,大涌口公廁,,22.3720404700,114.2598162000,24小時
,西貢東壩公廁,,22.3655861000,114.3742087000,24小時
,渡頭村公廁,,22.4337835300,114.2397417000,24小時
,青衣東北公園公廁,,22.3615723800,114.0986143000,24小時
,青衣碼頭公廁,,22.3540340000,114.1089142000,24小時
,柴灣角公廁,,22.3743125500,114.1056340000,24小時
,荃景圍公廁,,22.3791932300,114.1065035000,24小時
,橫龍街公廁,,22.3653662700,114.1187373000,24小時
,德華公園公廁,,22.3709089100,114.1183742000,24小時
,大連排道公廁,,22.3625455500,114.1335794000,24小時
,荔景山路遊樂場公廁,,22.3455792500,114.1273871000,24小時
,荔枝角公園公廁,,22.3397155100,114.1386033000,24小時
,馬灣碼頭公廁,,22.3655385500,114.0565209000,24小時
,深井村公廁,,22.3680307700,114.0594330000,24小時
,龍如路公廁,,22.3632834600,114.0459617000,24小時
,黃金泳灘公廁,,22.3729620800,113.9881543000,24小時
,富健街公廁,,22.3656225300,114.1768300000,24小時
,牛皮沙村公廁,,22.3801176200,114.2074491000,24小時
,牛皮沙遊樂場公廁,,22.3827296300,114.2060561000,24小時
,桂地街公廁,,22.3997403900,114.1910287000,24小時
,穗禾路公廁,,22.3982164100,114.1926762000,24小時
,山尾街公廁,,22.3965714000,114.1944570000,24小時
,恆輝街公園公廁,,22.4151456600,114.2269632000,24小時
,零碳天地公廁,,22.3213172400,114.2082914000,24小時
,創新路公廁,,22.4348400600,114.2016249000,24小時
,科研路公廁,,22.4293344700,114.2097215000,24小時
,汽站廁所,,22.4462056800,114.1735900000,24小時
,長青巴士總站公廁,,22.3483209300,114.1065201000,24小時
,大尾篤公廁,,22.4716399100,114.2328082000,24小時
,三門仔碼頭公廁,,22.4556745600,114.2138536000,24小時
,南坑村公廁,,22.4583829000,114.1689697000,24小時
,大埔頭村公廁,,22.4544531600,114.1564716000,24小時
,坑下莆公廁,,22.4575085200,114.1447515000,24小時
,坪朗公廁,,22.4459910000,114.1327820000,24小時
,粉嶺火車站公廁,,22.4929540000,114.1380233000,24小時
,聯昌街公廁,,22.4994222600,114.1432424000,24小時
,石湖墟公廁,,22.5041609200,114.1260414000,24小時
,香園圍口岸交通交匯處公廁,,22.5525873800,114.1536558000,24小時
,河上鄉公廁,,22.5107570100,114.1101397000,24小時
,古洞水塘坑公廁,,22.4998310400,114.0987753000,24小時
,新田皇巴站公廁,,22.5027048700,114.0815361000,24小時
,新圍村公廁,,22.4722252900,114.0564151000,24小時
,雞地公廁,,22.4434030800,114.0327860000,24小時
,裕景坊公廁,,22.4437414600,114.0279918000,24小時
,元朗西巴士總站公廁,,22.4454037600,114.0245561000,24小時
,谷亭街公廁,,22.4452382700,114.0299777000,24小時
,德業街遊樂場公廁,,22.4510649600,114.0315560000,24小時
,安興遊樂場公廁,,22.4422681200,114.0239991000,24小時
,大棠迴旋處公廁,,22.4179437400,114.0252069000,24小時
,大棠谷公廁,,22.4160863200,114.0238459000,24小時
,南坑排公廁,,22.4227651500,114.0310533000,24小時
,屏廈路公廁,,22.4436266100,114.0068278000,24小時
,天柏路公園公廁,,22.4575412500,114.0075657000,24小時
,鳳降村公廁,,22.4595505800,113.9900831000,24小時
,田廈路公廁,,22.4463188900,113.9936300000,24小時
,流浮山公廁,,22.4673581900,113.9838403000,24小時
,水頭村公廁,,22.4438834900,114.0608469000,24小時
,橫台山永寧里公廁,,22.4410948800,114.0953155000,24小時
,吳家村公廁,,22.4354583800,114.0700006000,24小時
,錦上路公廁,,22.4341295300,114.0651619000,24小時
,天地人路公廁,,22.4294365700,113.9940339000,24小時
,鯉魚門公廁,,22.2926193500,114.2392339000,24小時
,虎地上村公廁,,22.4079551400,113.9840329000,24小時
,楊小坑公廁,,22.3959078000,113.9665566000,24小時
,青楊街公廁,,22.3986717100,113.9699800000,24小時
,建隆街公廁,,22.3970859800,113.9694514000,24小時
,洪祥路公廁,,22.3930475600,113.9692785000,24小時
,汽站廁所,,22.3902033800,113.9688882000,24小時
,湖山路網球場公廁,,22.3762683600,113.9681293000,24小時
,屯門公路轉車站公廁,,22.3587006200,114.0184490000,24小時
,屯門公路轉車站公廁,,22.3620807900,114.0164236000,24小時
,蝴蝶灣公園公廁,,22.3739885700,113.9588780000,24小時
,油站廁所,,22.3108052200,113.9389513000,24小時
,東涌新碼頭公廁,,22.2933418400,113.9398151000,24小時
,欣澳公廁,,22.3325826200,114.0288932000,24小時
,石門甲公廁,,22.2692220300,113.9310226000,24小時
,上嶺皮公廁,,22.2785139500,113.9364867000,24小時
,和宜合村公廁,,22.3824353700,114.1388901000,24小時
,城門郊野公園公廁,,22.3848379500,114.1435089000,24小時
,田寮村公廁,,22.4323341000,114.0243206000,24小時
,白沙村公廁,,22.4252559500,114.0219958000,24小時
,黃泥墩公廁,,22.4165686800,114.0215071000,24小時
,泥圍公廁,,22.4225189700,113.9890261000,24小時
,新慶村公廁,,22.4188083700,113.9800477000,24小時
,司徒拔道瞭望台公廁,,22.2700043800,114.1760813000,24小時
,灣仔峽公園公廁,,22.2670008500,114.1690920000,24小時
,山頂公園公廁,,22.2742801400,114.1431856000,24小時
,新和里遊樂場公廁,,22.4018978100,113.9768998000,24小時
,調景嶺公共交通交匯處公廁,,22.3052672500,114.2525642000,24小時
,將軍澳海濱長廊寵物公園廁所,,22.3018736300,114.2614487000,24小時
,將軍澳站公共運輸交匯處公廁,,22.3089796500,114.2606757000,24小時
,城河道公廁,,22.3761003100,114.1794028000,24小時
,泥涌公廁,,22.4312802000,114.2555142000,24小時
,兆康港鐵站廁所,,22.4122148200,113.9790091000,0600-0100
