id,name,remarks,lat,lng,openinghrs
,曉光街公廁,,22.3159880343,114.2322337044,24小時
,康強街公廁,,22.3344970817,114.1964849780,24小時
,衙前圍村公廁,,22.3353659873,114.1931181236,24小時
,將軍澳工業區巴士總站公廁,,22.2834207629,114.2708462346,24小時
,半見村工廁,,22.3165454688,114.2709500583,24小時
,將軍澳村公廁,,22.3270464949,114.2507637637,24小時
,南圍村公廁,,22.3517781666,114.2531603609,24小時
,西貢碼頭公廁,,22.3825408832,114.2741809532,24小時
,大涌口公廁,,22.3720404750,114.2598162020,24小時
,西貢東壩公廁,,22.3655861064,114.3742087549,24小時
,渡頭村公廁,,22.4337835330,114.2397417223,24小時
,青衣東北公園公廁,,22.3615723863,114.0986143843,24小時
,青衣碼頭公廁,,22.3540340025,114.1089142076,24小時
,柴灣角公廁,,22.3743125513,114.1056340720,24小時
,荃景圍公廁,,22.3791932349,114.1065035055,24小時
,橫龍街公廁,,22.3653662780,114.1187373243,24小時
,德華公園公廁,,22.3709089167,114.1183742370,24小時
,大連排道公廁,,22.3625455590,114.1335794437,24小時
,荔景山路遊樂場公廁,,22.3455792555,114.1273871999,24小時
,荔枝角公園公廁,,22.3397155192,114.1386033863,24小時
,馬灣碼頭公廁,,22.3655385592,114.0565209581,24小時
,深井村公廁,,22.3680307707,114.0594330664,24小時
,龍如路公廁,,22.3632834660,114.0459617869,24小時
,黃金泳灘公廁,,22.3729620889,113.9881543378,24小時
,富健街公廁,,22.3656225386,114.1768300563,24小時
,牛皮沙村公廁,,22.3801176256,114.2074491830,24小時
,牛皮沙遊樂場公廁,,22.3827296311,114.2060561134,24小時
,桂地街公廁,,22.3997403943,114.1910287454,24小時
,穗禾路公廁,,22.3982164156,114.1926762232,24小時
,山尾街公廁,,22.3965714079,114.1944570799,24小時
,恆輝街公園公廁,,22.4151456694,114.2269632726,24小時
,零碳天地公廁,,22.3213172439,114.2082914468,24小時
,創新路公廁,,22.4348400676,114.2016249665,24小時
,科研路公廁,,22.4293344787,114.2097215661,24小時
,汽站廁所,,22.4462056879,114.1735900579,24小時
,長青巴士總站公廁,,22.3483209351,114.1065201779,24小時
,大尾篤公廁,,22.4716399116,114.2328082782,24小時
,三門仔碼頭公廁,,22.4556745681,114.2138536395,24小時
,南坑村公廁,,22.4583829030,114.1689697515,24小時
,大埔頭村公廁,,22.4544531623,114.1564716447,24小時
,坑下莆公廁,,22.4575085295,114.1447515821,24小時
,坪朗公廁,,22.4459910053,114.1327820513,24小時
,粉嶺火車站公廁,,22.4929540003,114.1380233522,24小時
,聯昌街公廁,,22.4994222645,114.1432424233,24小時
,石湖墟公廁,,22.5041609242,114.1260414715,24小時
,香園圍口岸交通交匯處公廁,,22.5525873832,114.1536558657,24小時
,河上鄉公廁,,22.5107570100,114.1101397301,24小時
,古洞水塘坑公廁,,22.4998310465,114.0987753448,24小時
,新田皇巴站公廁,,22.5027048701,114.0815361083,24小時
,新圍村公廁,,22.4722252973,114.0564151606,24小時
,雞地公廁,,22.4434030821,114.0327860817,24小時
,裕景坊公廁,,22.4437414696,114.0279918475,24小時
,元朗西巴士總站公廁,,22.4454037672,114.0245561031,24小時
,谷亭街公廁,,22.4452382784,114.0299777127,24小時
,德業街遊樂場公廁,,22.4510649650,114.0315560309,24小時
,安興遊樂場公廁,,22.4422681256,114.0239991222,24小時
,大棠迴旋處公廁,,22.4179437469,114.0252069432,24小時
,大棠谷公廁,,22.4160863208,114.0238459834,24小時
,南坑排公廁,,22.4227651510,114.0310533896,24小時
,屏廈路公廁,,22.4436266155,114.0068278102,24小時
,天柏路公園公廁,,22.4575412567,114.0075657172,24小時
,鳳降村公廁,,22.4595505868,113.9900831875,24小時
